"id","status__c","tenancy__c","parent_tenancy","id-2","PMS_Reference__c","ownerid","accountid","recordtypeid","unit__c","status","tenancy_status__c","startdate","enddate","agreement_type__c","document_type__c","memorandum_of_agreement_date__c","actual_move_out_date__c","uplift_percentage__c","security_deposit_amount__c","break_clause__c","special_clauses__c","special_clause_free_text__c","vehicle_make__c","vehicle_model__c","vehicle_registration__c","opportunity__c","PMS_Reference__c-2","accountid-2","break_clause__c-2","recordtypeid-2","Unit__c","StartDate","Tenancy_End_Date__c","status-2","Agreement_Type__c","Description","unit_rn","ownerid-2","document_type__c-2","memorandum_of_agreement_date__c-2","actual_move_out_date__c-2","uplift_percentage__c-2","security_deposit_amount__c-2","special_clauses__c-2","special_clause_free_text__c-2","vehicle_make__c-2","vehicle_model__c-2","vehicle_registration__c-2"
"a24Nz000000lggXIAQ","Closed - Tenant Retained","800Nz0000018sFdIAI","800Pv00000G581GIAR","800Nz0000018sFdIAI","222579153004","0058d000006d5m0AAA","0018d000002qxSSAAY","012Pv0000021hzSIAQ","a1G4J0000025z2HUAQ","Draft","Ended","2023-09-20","2024-03-19","AST","AST",,,"6.00","1170.00","2 at 4 to expire at 6",,,,,,"006Nz000000nDSOIA2","222579153004","0018d000002qxSSAAY","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025z2HUAQ","2024-03-20","2025-03-19","Draft","AST","AST","1","0054J000004vXOiQAM","AST",,,"6.00","1170.00",,,,,
"a24Nz000001VAH3IAO","Complete","8008d000000YRubAAG","800Pv00000GEyzsIAD","8008d000000YRubAAG","222580018003","0054J000004vXOiQAM","0014J00000VvThuQAF","012Pv0000021hzSIAQ","a1G4J0000025yM8UAI","Draft","Ended","2023-01-17","2025-01-16","AST","AST",,"2024-05-19","6.00","885.00","2 at 10 to expire at 12",,,,,,"0068d000009hizaAAA","222580018003","0014J00000VvU8FQAV","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025yM8UAI","2024-05-24","2025-05-23","Draft","AST","AST","1","0058d0000020feeAAA","AST",,,"4.00","885.00",,"Change of Sharer

Mang Xu shall become a Tenant of the above property and shall assume joint and several responsibility for all other terms, conditions and obligations detailed within the above Tenancy Agreement.

Mang Xu shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 17.07.2020.",,,
"a24Nz000001nSKLIA2","Cancelled","800Nz000001TUILIA4","800Pv00000G54GNIAZ","800Nz000001TUILIA4","222581039002","0058d0000020feeAAA","001Nz0000017YpBIAU","012Pv0000021hzSIAQ","a1G4J0000025xgWUAQ","Activated","Activated","2023-08-25","2024-08-24","AST","AST",,,"6.00","1315.00","No Break",,,,,,"006Nz0000014VSrIAM","222581039002","001Nz0000017YpBIAU","No Break","012Pv0000027hGnIAI","a1G4J0000025xgWUAQ","2023-08-25","2024-08-24","Draft","AST","AST","1","0058d0000020feeAAA","AST",,,"6.00","1315.00",,,,,
"a24Nz000001Vn0fIAC","Cancelled","800Nz000005sf6YIAQ","800Pv00000GF1fQIAT","800Nz000005sf6YIAQ","222583059004","0054J000004vXOiQAM","0014J00000VvUKYQA3","012Pv0000021hzSIAQ","a1G4J0000025yRHUAY","Activated","Activated","2024-02-24","2025-02-23","Licence","Parking Licence",,,"6.00","0.00","Renewal 1 month",,,,,,"006Nz000004n4oCIAQ","222583059004","0014J00000VvUKYQA3","Renewal 1 month","012Pv0000027hGnIAI","a1G4J0000025yRHUAY","2024-02-24","2025-02-23","Draft","Licence","Licence","1","0054J000004vXOiQAM","Parking Licence",,,"6.00","0.00",,,,,
"a24Nz000001LryPIAS","Complete","800Nz000003nicjIAA","800Pv00000G4uhFIAR","800Nz000003nicjIAA","222583155001","0054J000004vXOiQAM","0014J00000VvSkQQAV","012Pv0000021hzSIAQ","a1G4J0000025yhwUAA","Activated","Activated","2023-12-03","2024-12-02","Licence","Parking Licence",,"2024-05-22","6.00","0.00","Check Contract",,,,,,"006Nz0000022BeGIAU","222583155001","0014J00000VvT7PQAV","Check Contract","012Pv0000027hGnIAI","a1G4J0000025yhwUAA",,,"Draft","Licence","Vacant","1","0054J000004vXOiQAM","Parking Licence",,"2024-05-22","6.00","0.00",,,,,
"a24Nz000000xsScIAI","Closed - Tenant Retained","800Nz000001IDCpIAO","800Pv00000G4zIRIAZ","800Nz000001IDCpIAO","222601027003","0058d000006d5m0AAA","0014J00000Zt6BwQAJ","012Pv0000021hzSIAQ","a1G4J0000025y9BUAQ","Activated","Activated","2023-08-21","2024-08-20","AST","AST",,,"6.00","1175.00","2 at 4 to expire at 6",,,,,,"0068d00000Ct0MKAAZ","222601027003","0014J00000Zt6BwQAJ","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025y9BUAQ","2023-08-21","2024-08-20","Draft","AST","AST","1","0058d000006d5m0AAA","AST",,,"6.00","1175.00",,,,,
"a24Nz000001a0YnIAI","Closed - Tenant Retained","800Nz000000dOk1IAE","800Pv00000G4voGIAR","800Nz000000dOk1IAE","222623117002","0054J000004vXP2QAM","0018d00000B2tzFAAR","012Pv0000021hzSIAQ","a1G4J0000025yulUAA","Draft","Ended","2023-07-08","2024-07-07","AST","AST",,,"6.00","1685.00","2 at 4 to expire at 6",,,,,,"0068d00000Cs76ZAAR","222623117002","0018d00000B3iYLAAZ","Renewal 2 month","012Pv0000027hGnIAI","a1G4J0000025yulUAA","2023-07-08","2024-07-07","Draft","AST","AST","1","0054J000004vXP2QAM","AST",,,"6.00","1685.00",,,,,
"a24Nz000001dJNCIA2","Closed - Tenant Retained","800Nz000008E9d7IAC","800Pv00000G564NIAR","800Nz000008E9d7IAC","222624031006","0054J000004vXP2QAM","001Nz000000tZBgIAM","012Pv0000021hzSIAQ","a1G4J0000025yMGUAY","Activated","Activated","2024-02-09","2024-08-08","AST","AST",,,"6.00","1925.00","No Break",,"Change Of Sharer Clause 

1. Xuan Gao shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Zhiyang Zhang will become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Zhiyang Zhang shall reimburse Xuan Gao the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Zhiyang Zhang shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy.",,,,"006Nz000005cEVLIA2","222624031006","001Nz000000tZBgIAM","No Break","012Pv0000027hGnIAI","a1G4J0000025yMGUAY","2023-08-09","2024-08-08","Draft","AST","AST","1","0054J000004vXP2QAM","AST",,,"6.00","1925.00",,"Change Of Sharer Clause 

1. Xuan Gao shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Zhiyang Zhang will become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Zhiyang Zhang shall reimburse Xuan Gao the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Zhiyang Zhang shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy.",,,
"a24Nz000001dHejIAE","Cancelled","800Nz000000xDEGIA2","800Pv00000GF1bJIAT","800Nz000000xDEGIA2","222629074003","0054J000004vXOaQAM","0018d00000aFen4AAC","012Pv0000021hzSIAQ","a1G4J0000025y7wUAA","Draft","Draft","2023-07-11","2024-07-10","Licence","Parking Licence",,,"6.00","0.00","No Break",,,,,,"006Nz000000qmlLIAQ","222629074003","0018d00000aFen4AAC","No Break","012Pv0000027hGnIAI","a1G4J0000025yDXUAY","2023-07-11","2024-07-10","Draft","Licence","Licence","1","0054J000004vXOaQAM","Parking Licence",,,"6.00","0.00",,,,,
"a24Nz0000015aqHIAQ","Complete","8008d000000Ycl1AAC","800Pv00000G581HIAR","8008d000000Ycl1AAC","222630027004","0058d000004GKjUAAW","0018d000006XMR6AAO","012Pv0000021hzSIAQ","a1G4J0000025z2IUAQ","Activated","Activated","2023-04-16","2024-04-15","AST","AST",,"2024-03-08","6.00","850.00","2 at 4 to expire at 6",,,,,,"0068d00000BKxLNAA1","222630027004","001Nz00000CRJSgIAP","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025z2IUAQ",,,"Draft","AST","Vacant","1","0058d000004GKjUAAW","AST",,"2024-03-08","6.00","850.00",,,,,
"a24Nz000000uOUIIA2","Closed - Tenant Retained","8008d000000YIVEAA4","800Pv00000G5183IAB","8008d000000YIVEAA4","222630062003","0054J000004vXOnQAM","0018d000003THqxAAG","012Pv0000021hzSIAQ","a1G4J0000025zJgUAI","Draft","Ended","2022-10-31","2024-04-30","AST","AST",,,"4.00","840.00","2 at 10 to expire at 12",,,,,,"0068d000009CqpTAAS","222630062003","0018d000003THqxAAG","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025zJgUAI","2024-05-01","2025-04-30","Draft","AST","AST","1","0054J000004vXOnQAM","AST",,,"6.00","840.00",,,,,
"a24Nz000001PBsXIAW","Closed - Tenant Retained","800Nz0000049oD2IAI","800Pv00000GF3RPIA1","800Nz0000049oD2IAI","222630191006","0054J000005JWtDQAW","001Nz000003M2kbIAC","012Pv0000021hzSIAQ","a1G4J0000025zTMUAY","Activated","Activated","2023-11-06","2024-11-05","AST","AST",,,"6.00","1255.00","2 at 4 to expire at 6",,"RTR Occupation Clause

Not to allow any adult to occupy the Premises unless such person has complied with the requirements of the Immigration Act 2014 (Right to Rent), by providing at his own expense evidence of such to the satisfaction of the Landlord or his Agent. Further not to allow any adult to remain in the Premises once his Right to Rent has expired unless such person can provide at his own expense further evidence of his continued Right to Rent to the satisfaction of the Landlord or his Agent",,,,"006Nz000003Ik7VIAS","222630191006","001Nz000003M2kbIAC","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025zTMUAY","2023-11-06","2024-11-05","Draft","AST","AST","1","0054J000005JWtDQAW","AST",,,"6.00","1255.00",,"RTR Occupation Clause

Not to allow any adult to occupy the Premises unless such person has complied with the requirements of the Immigration Act 2014 (Right to Rent), by providing at his own expense evidence of such to the satisfaction of the Landlord or his Agent. Further not to allow any adult to remain in the Premises once his Right to Rent has expired unless such person can provide at his own expense further evidence of his continued Right to Rent to the satisfaction of the Landlord or his Agent",,,
"a24Nz0000015alRIAQ","Cancelled","8008d000000YfTQAA0","800Pv00000G4uhWIAR","8008d000000YfTQAA0","222631022003","0058d000004GKjUAAW","0018d000006XMR6AAO","012Pv0000021hzSIAQ","a1G4J0000025ymQUAQ","Draft","Ended","2023-05-01","2024-04-30","Licence","Parking Licence",,,"6.00","0.00","Check Contract",,,,,,"0068d00000BKy3KAAT","222631022003","0018d000006XMR6AAO","Renewal 1 month","012Pv0000027hGnIAI","a1G4J0000025ymQUAQ","2024-06-01","2025-02-28","Draft","Licence","Licence","1","0054J000004vXOnQAM","Parking Licence",,,"6.00","0.00",,,,,
"a24Nz000000l9PdIAI","Cancelled","800Nz000001TXxlIAG","800Pv00000G4yTIIAZ","800Nz000001TXxlIAG","222639018002","0054J000004vXOqQAM","001Nz000001CzDdIAK","012Pv0000021hzSIAQ","a1G4J0000025zLtUAI","Draft","Draft","2023-07-26","2024-07-25","AST","AST",,,"8.00","1660.00","No Break",,,,,,"006Nz0000019swfIAA","222639018002","001Nz000001D2I1IAK","No Break","012Pv0000027hGnIAI","a1G4J0000025zLtUAI","2023-07-28","2024-07-27","Draft","AST","AST","1","0054J000004vXP2QAM","AST",,,"4.00","1660.00",,"Change Of Sharer Clause 

1. Kunal Shinde & Anushka Ingavale shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Ninjal Gomes will become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Ninjal Gomes shall reimburse Kunal Shinde & Anushka Ingavale the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Ninjal Gomes shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy.",,,
"a24Nz000001UrSwIAK","Closed - Tenant Retained","800Nz0000019wVkIAI","800Pv00000FzquEIAR","800Nz0000019wVkIAI","222639050005","0054J000004vXOaQAM","001Nz000000uTH3IAM","012Pv0000021hzSIAQ","a1G4J0000025zADUAY","Activated","Activated","2023-07-04","2026-07-03","AST","AST",,,"8.00","1560.00","2 at 10 to expire at 12",,,,,,"006Nz000000rVk1IAE","222639050005","001Nz000000wZrrIAE","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025zADUAY","2023-07-04","2026-07-03","Draft","AST","AST","1","0054J000004vXOaQAM","AST",,,"8.00","1560.00",,,,,
"a24Nz0000017nWTIAY","Cancelled","800Nz000001Cs7XIAS","800Pv00000G4voyIAB","800Nz000001Cs7XIAS","222639068002","0058d000006d5m0AAA","0018d000002sLKyAAM","012Pv0000021hzSIAQ","a1G4J0000025zB6UAI","Activated","Activated","2023-09-15","2024-09-14","AST","AST",,,"6.00","1130.00","2 at 10 to expire at 12",,,,,,"006Nz000000W5z5IAC","222639068002","0018d000002sLKyAAM","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025zB6UAI","2023-09-15","2024-09-14","Draft","AST","AST","1","0058d000006d5m0AAA","AST",,,"6.00","1130.00",,,,,
"a24Nz000001BvAUIA0","Cancelled","800Nz000003QqJ1IAK","800Pv00000GEzxRIAT","800Nz000003QqJ1IAK","222639079003","0054J000004vXOnQAM","0018d00000JjXHrAAN","012Pv0000021hzSIAQ","a1G4J0000025zI3UAI","Activated","Activated","2023-12-19","2024-12-18","AST","AST",,,"6.00","1200.00","2 at 4 to expire at 6",,,,,,"006Nz000002wSkRIAU","222639079003","0018d00000JjXHrAAN","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025zI3UAI","2023-12-19","2024-12-18","Draft","AST","AST","1","0054J000004vXOnQAM","AST",,,"6.00","1200.00",,,,,
"a24Nz000001PwJZIA0","Cancelled","8008d000000YJKhAAO","800Pv00000Fztf9IAB","8008d000000YJKhAAO","222639081004","0058d0000034SvqAAE","0018d00000ElKD9AAN","012Pv0000021hzSIAQ","a1G4J0000025z6vUAA","Draft","Ended","2022-09-01","2023-08-31","AST","AST",,,"3.50","1495.00","2 at 10 to expire at 12",,,,,,"0068d000009CqP5AAK","222639081004","0018d00000Ek3uvAAB","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025z6vUAA","2023-09-01","2024-08-31","Draft","AST","AST","1","0058d000006d5m0AAA","AST",,,"6.00","1495.00",,,,,
"a24Nz000000xx5hIAA","Cancelled","800Nz000001rJ7FIAU","800Pv00000G57hzIAB","800Nz000001rJ7FIAU","222639120002","0054J000004vXOqQAM","001Nz000001Bs6AIAS","012Pv0000021hzSIAQ","a1G4J0000025ygYUAQ","Draft","Ended","2023-08-23","2024-08-22","AST","AST",,,"8.00","1625.00","No Break",,,,,,"006Nz0000018nhKIAQ","222639120002","001Nz000001Bs6AIAS","No Break","012Pv0000027hGnIAI","a1G4J0000025ygYUAQ","2023-08-23","2024-08-22","Draft","AST","AST","1","0054J000004vXP2QAM","AST",,,"4.00","1625.00",,"Change Of Sharer Clause 

1. Preethi G Deshpande & Chiranjeevi Soundararajan shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Swetha Balusu will become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Swetha Balusu shall reimburse Preethi G Deshpande & Chiranjeevi Soundararajan the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Swetha Balusu shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy.",,,
